time,tag,tr,flag
2023-11-27 10:35:48.617001,ct,,
2023-11-27 10:35:49.420008,mt,,correct omission
2023-11-27 10:35:50.222320,ct,,omission error
2023-11-27 10:35:51.047017,ct,,omission error
2023-11-27 10:35:51.851935,ct,,omission error
2023-11-27 10:35:52.659182,ct,,omission error
2023-11-27 10:35:53.461828,ct,,omission error
2023-11-27 10:35:54.284060,ct,,omission error
2023-11-27 10:35:55.094336,ct,,omission error
2023-11-27 10:35:55.904495,ct,,omission error
2023-11-27 10:35:56.706560,ct,,omission error
2023-11-27 10:35:57.527970,ct,,omission error
2023-11-27 10:35:58.328772,mt,,correct omission
2023-11-27 10:35:59.129664,ct,,omission error
2023-11-27 10:35:59.950947,ct,,omission error
2023-11-27 10:36:00.759323,ct,,omission error
2023-11-27 10:36:01.566191,ct,,omission error
2023-11-27 10:36:02.372579,ct,,omission error
2023-11-27 10:36:03.174436,ct,,omission error
2023-11-27 10:36:03.983479,ct,,omission error
2023-11-27 10:36:04.790645,ct,,omission error
2023-11-27 10:36:05.609339,ct,,omission error
2023-11-27 10:36:06.422669,ct,,omission error
2023-11-27 10:36:07.248880,ct,,omission error
2023-11-27 10:36:08.049297,ct,,omission error
2023-11-27 10:36:08.861920,ct,,omission error
2023-11-27 10:36:09.665507,mt,,correct omission
2023-11-27 10:36:10.471921,ct,,omission error
2023-11-27 10:36:11.291276,ct,,omission error
2023-11-27 10:36:12.094920,ct,,omission error
2023-11-27 10:36:12.908765,ct,,omission error
2023-11-27 10:36:13.714784,ct,,omission error
2023-11-27 10:36:14.528599,ct,,omission error
2023-11-27 10:36:15.344126,ct,,omission error
2023-11-27 10:36:16.147608,ct,,omission error
2023-11-27 10:36:16.956637,ct,,omission error
2023-11-27 10:36:17.766033,ct,,omission error
2023-11-27 10:36:18.574723,ct,,omission error
2023-11-27 10:36:19.381460,mt,,correct omission
2023-11-27 10:36:20.199497,ct,,omission error
2023-11-27 10:36:20.999073,ct,,omission error
2023-11-27 10:36:21.822006,ct,,omission error
2023-11-27 10:36:22.629665,ct,,omission error
2023-11-27 10:36:23.434440,ct,,omission error
2023-11-27 10:36:24.243906,ct,,omission error
2023-11-27 10:36:25.061496,ct,,omission error
2023-11-27 10:36:25.868957,ct,,omission error
2023-11-27 10:36:26.675450,mt,,correct omission
2023-11-27 10:36:27.484276,ct,,omission error
2023-11-27 10:36:28.296688,ct,,omission error
2023-11-27 10:36:29.094897,mt,,correct omission
2023-11-27 10:36:29.895890,ct,,omission error
2023-11-27 10:36:30.717888,ct,,omission error
2023-11-27 10:36:31.516936,ct,,omission error
2023-11-27 10:36:32.320527,ct,,omission error
2023-11-27 10:36:33.130014,ct,,omission error
2023-11-27 10:36:33.931519,ct,,omission error
2023-11-27 10:36:34.740091,ct,,omission error
2023-11-27 10:36:35.546698,ct,,omission error
2023-11-27 10:36:36.361087,ct,,omission error
2023-11-27 10:36:37.180711,ct,,omission error
2023-11-27 10:36:37.995682,ct,,omission error
2023-11-27 10:36:38.812780,ct,,omission error
2023-11-27 10:36:39.631684,ct,,omission error
2023-11-27 10:36:40.434407,ct,,omission error
2023-11-27 10:36:41.242759,ct,,omission error
2023-11-27 10:36:42.063022,ct,,omission error
2023-11-27 10:36:42.869480,ct,,omission error
2023-11-27 10:36:43.688229,mt,,correct omission
2023-11-27 10:36:44.495073,ct,,omission error
2023-11-27 10:36:45.311327,ct,,omission error
2023-11-27 10:36:46.116405,ct,,omission error
2023-11-27 10:36:46.934351,ct,,omission error
2023-11-27 10:36:47.738274,ct,,omission error
2023-11-27 10:36:48.543920,ct,,omission error
2023-11-27 10:36:49.363957,ct,,omission error
2023-11-27 10:36:50.167709,ct,,omission error
2023-11-27 10:36:50.974182,mt,,correct omission
2023-11-27 10:36:51.784630,ct,,omission error
2023-11-27 10:36:52.583430,ct,,omission error
2023-11-27 10:36:53.387512,ct,,omission error
2023-11-27 10:36:54.188778,ct,,omission error
2023-11-27 10:36:55.000886,ct,,omission error
2023-11-27 10:36:55.822742,ct,,omission error
2023-11-27 10:36:56.636023,ct,,omission error
2023-11-27 10:36:57.435360,ct,,omission error
2023-11-27 10:36:58.234632,mt,,correct omission
2023-11-27 10:36:59.039364,ct,,omission error
2023-11-27 10:36:59.852315,ct,,omission error
2023-11-27 10:37:00.651445,ct,,omission error
2023-11-27 10:37:01.453699,ct,,omission error
2023-11-27 10:37:02.251858,ct,,omission error
2023-11-27 10:37:03.060097,ct,,omission error
2023-11-27 10:37:03.864108,ct,,omission error
2023-11-27 10:37:04.687773,ct,,omission error
2023-11-27 10:37:05.492613,ct,,omission error
2023-11-27 10:37:06.300865,ct,,omission error
2023-11-27 10:37:07.105949,mt,,correct omission
2023-11-27 10:37:07.926944,ct,,omission error
2023-11-27 10:37:08.735693,ct,,omission error
2023-11-27 10:37:09.541484,ct,,omission error
2023-11-27 10:37:10.361662,mt,,correct omission
2023-11-27 10:37:11.166014,ct,,omission error
2023-11-27 10:37:11.970198,ct,,omission error
2023-11-27 10:37:12.774346,ct,,omission error
2023-11-27 10:37:13.584884,ct,,omission error
2023-11-27 10:37:14.390972,ct,,omission error
2023-11-27 10:37:15.203679,ct,,omission error
2023-11-27 10:37:16.121971,ct,,omission error
2023-11-27 10:37:17.050614,ct,,omission error
2023-11-27 10:37:17.930895,ct,,omission error
2023-11-27 10:37:18.734505,ct,,omission error
2023-11-27 10:37:19.541510,ct,,omission error
2023-11-27 10:37:20.350555,mt,,correct omission
2023-11-27 10:37:21.150412,ct,,omission error
2023-11-27 10:37:21.976182,ct,,omission error
2023-11-27 10:37:22.783058,ct,,omission error
2023-11-27 10:37:23.584023,ct,,omission error
2023-11-27 10:37:24.410311,ct,,omission error
2023-11-27 10:37:25.216684,ct,,omission error
2023-11-27 10:37:26.044713,ct,,omission error
2023-11-27 10:37:26.896308,ct,,omission error
2023-11-27 10:37:27.746596,mt,,correct omission
2023-11-27 10:37:28.551643,ct,,omission error
2023-11-27 10:37:29.355335,ct,,omission error
2023-11-27 10:37:30.172312,ct,,omission error
2023-11-27 10:37:30.978609,ct,,omission error
2023-11-27 10:37:31.790379,ct,,omission error
2023-11-27 10:37:32.599261,ct,,omission error
2023-11-27 10:37:33.410989,ct,,omission error
2023-11-27 10:37:34.213089,ct,,omission error
2023-11-27 10:37:35.020792,ct,,omission error
2023-11-27 10:37:35.836294,ct,,omission error
2023-11-27 10:37:36.645309,ct,,omission error
2023-11-27 10:37:37.453191,ct,,omission error
2023-11-27 10:37:38.266534,ct,,omission error
2023-11-27 10:37:39.075253,ct,,omission error
2023-11-27 10:37:39.888864,ct,,omission error
2023-11-27 10:37:40.700329,mt,,correct omission
2023-11-27 10:37:41.512219,ct,,omission error
2023-11-27 10:37:42.315227,ct,,omission error
2023-11-27 10:37:43.117613,mt,,correct omission
2023-11-27 10:37:43.918581,ct,,omission error
2023-11-27 10:37:44.743315,ct,,omission error
2023-11-27 10:37:45.545345,ct,,omission error
2023-11-27 10:37:46.359561,ct,,omission error
2023-11-27 10:37:47.171883,ct,,omission error
2023-11-27 10:37:47.985795,ct,,omission error
2023-11-27 10:37:48.800270,ct,,omission error
2023-11-27 10:37:49.600728,ct,,omission error
2023-11-27 10:37:50.408186,ct,,omission error
2023-11-27 10:37:51.219057,ct,,omission error
2023-11-27 10:37:52.026243,ct,,omission error
2023-11-27 10:37:52.824836,ct,,omission error
2023-11-27 10:37:53.638407,ct,,omission error
2023-11-27 10:37:54.441879,ct,,omission error
2023-11-27 10:37:55.248425,ct,,omission error
2023-11-27 10:37:56.062048,mt,,correct omission
2023-11-27 10:37:56.863646,ct,,omission error
2023-11-27 10:37:57.678290,ct,,omission error
2023-11-27 10:37:58.481269,ct,,omission error
2023-11-27 10:37:59.288375,ct,,omission error
2023-11-27 10:38:00.100335,ct,,omission error
2023-11-27 10:38:00.909078,ct,,omission error
2023-11-27 10:38:01.728977,ct,,omission error
2023-11-27 10:38:02.531748,mt,,correct omission
2023-11-27 10:38:03.338490,ct,,omission error
2023-11-27 10:38:04.142355,ct,,omission error
2023-11-27 10:38:04.950565,ct,,omission error
2023-11-27 10:38:05.750998,mt,,correct omission
2023-11-27 10:38:06.562169,ct,,omission error
2023-11-27 10:38:07.364592,ct,,omission error
2023-11-27 10:38:08.186161,ct,,omission error
2023-11-27 10:38:08.992722,ct,,omission error
2023-11-27 10:38:09.808608,ct,,omission error
2023-11-27 10:38:10.616218,ct,,omission error
2023-11-27 10:38:11.418053,ct,,omission error
2023-11-27 10:38:12.240184,ct,,omission error
2023-11-27 10:38:13.044292,ct,,omission error
2023-11-27 10:38:13.861499,ct,,omission error
