time,tag,tr,flag
2023-11-05 15:57:23.979806,ct,,
2023-11-05 15:57:24.817558,ct,,omission error
2023-11-05 15:57:25.656255,ct,,omission error
2023-11-05 15:57:26.496631,ct,,omission error
2023-11-05 15:57:27.334469,ct,,omission error
2023-11-05 15:57:28.163179,ct,,omission error
2023-11-05 15:57:28.994118,ct,,omission error
2023-11-05 15:57:29.856871,mt,,correct omission
2023-11-05 15:57:30.699762,ct,,omission error
2023-11-05 15:57:31.541761,ct,,omission error
2023-11-05 15:57:32.367663,ct,,omission error
2023-11-05 15:57:33.214350,ct,,omission error
2023-11-05 15:57:34.049946,ct,,omission error
2023-11-05 15:57:34.880204,ct,,omission error
2023-11-05 15:57:35.720477,ct,,omission error
2023-11-05 15:57:36.560438,ct,,omission error
2023-11-05 15:57:37.383196,ct,,omission error
2023-11-05 15:57:38.216798,mt,,correct omission
2023-11-05 15:57:39.048025,ct,,omission error
2023-11-05 15:57:39.885347,ct,,omission error
2023-11-05 15:57:40.709815,ct,,omission error
2023-11-05 15:57:41.555662,ct,,omission error
2023-11-05 15:57:42.384153,ct,,omission error
2023-11-05 15:57:43.215213,ct,,omission error
2023-11-05 15:57:44.046952,ct,,omission error
2023-11-05 15:57:44.884620,mt,,correct omission
2023-11-05 15:57:45.711611,ct,,omission error
2023-11-05 15:57:46.554251,ct,,omission error
2023-11-05 15:57:47.391354,ct,,omission error
2023-11-05 15:57:48.235866,ct,,omission error
2023-11-05 15:57:49.082606,ct,,omission error
2023-11-05 15:57:49.920171,ct,,omission error
2023-11-05 15:57:50.756249,ct,,omission error
2023-11-05 15:57:51.581743,mt,,correct omission
2023-11-05 15:57:52.413909,ct,,omission error
2023-11-05 15:57:53.255277,ct,,omission error
2023-11-05 15:57:54.102410,ct,,omission error
2023-11-05 15:57:54.941571,ct,,omission error
2023-11-05 15:57:55.782765,ct,,omission error
2023-11-05 15:57:56.618196,ct,,omission error
2023-11-05 15:57:57.450066,ct,,omission error
2023-11-05 15:57:58.303203,ct,,omission error
2023-11-05 15:57:59.152868,ct,,omission error
2023-11-05 15:57:59.973704,ct,,omission error
2023-11-05 15:58:00.817249,ct,,omission error
2023-11-05 15:58:01.659948,ct,,omission error
2023-11-05 15:58:02.498792,mt,,correct omission
2023-11-05 15:58:03.321957,ct,,omission error
2023-11-05 15:58:04.161706,ct,,omission error
2023-11-05 15:58:04.990079,ct,,omission error
2023-11-05 15:58:05.828370,ct,,omission error
2023-11-05 15:58:06.664462,ct,,omission error
2023-11-05 15:58:07.501409,ct,,omission error
2023-11-05 15:58:08.335776,ct,,omission error
2023-11-05 15:58:09.168778,ct,,omission error
2023-11-05 15:58:10.001210,ct,,omission error
2023-11-05 15:58:10.835856,ct,,omission error
2023-11-05 15:58:11.680703,ct,,omission error
2023-11-05 15:58:12.529033,mt,,correct omission
2023-11-05 15:58:13.359784,mt,,correct omission
2023-11-05 15:58:14.200428,ct,,omission error
2023-11-05 15:58:15.034541,ct,,omission error
2023-11-05 15:58:15.865149,ct,,omission error
2023-11-05 15:58:16.699326,ct,,omission error
2023-11-05 15:58:17.541776,ct,,omission error
2023-11-05 15:58:18.371882,ct,,omission error
2023-11-05 15:58:19.200258,ct,,omission error
2023-11-05 15:58:20.042644,ct,,omission error
2023-11-05 15:58:20.881357,ct,,omission error
2023-11-05 15:58:21.719960,ct,,omission error
2023-11-05 15:58:22.567564,ct,,omission error
2023-11-05 15:58:23.413009,ct,,omission error
2023-11-05 15:58:24.243855,ct,,omission error
2023-11-05 15:58:25.095394,ct,,omission error
2023-11-05 15:58:25.945029,ct,,omission error
2023-11-05 15:58:26.780672,ct,,omission error
2023-11-05 15:58:27.618616,ct,,omission error
2023-11-05 15:58:28.457764,ct,,omission error
2023-11-05 15:58:29.287373,mt,,correct omission
2023-11-05 15:58:30.128308,ct,,omission error
2023-11-05 15:58:30.958235,ct,,omission error
2023-11-05 15:58:31.806872,mt,,correct omission
2023-11-05 15:58:32.667985,ct,,omission error
2023-11-05 15:58:33.505224,ct,,omission error
2023-11-05 15:58:34.326675,ct,,omission error
2023-11-05 15:58:35.165881,ct,,omission error
2023-11-05 15:58:36.004667,ct,,omission error
2023-11-05 15:58:36.831168,ct,,omission error
2023-11-05 15:58:37.662229,ct,,omission error
2023-11-05 15:58:38.498740,ct,,omission error
2023-11-05 15:58:39.339298,ct,,omission error
2023-11-05 15:58:40.176473,ct,,omission error
2023-11-05 15:58:41.003545,ct,,omission error
2023-11-05 15:58:41.832712,ct,,omission error
2023-11-05 15:58:42.671406,ct,,omission error
2023-11-05 15:58:43.505167,ct,,omission error
2023-11-05 15:58:44.347847,mt,,correct omission
2023-11-05 15:58:45.164999,ct,,omission error
2023-11-05 15:58:46.006922,ct,,omission error
2023-11-05 15:58:46.838755,mt,,correct omission
2023-11-05 15:58:47.683221,ct,,omission error
2023-11-05 15:58:48.522841,ct,,omission error
2023-11-05 15:58:49.362376,ct,,omission error
2023-11-05 15:58:50.203322,ct,,omission error
2023-11-05 15:58:51.033603,ct,,omission error
2023-11-05 15:58:51.873122,ct,,omission error
2023-11-05 15:58:52.720597,ct,,omission error
2023-11-05 15:58:53.562120,ct,,omission error
2023-11-05 15:58:54.425395,ct,,omission error
2023-11-05 15:58:55.261131,ct,,omission error
2023-11-05 15:58:56.089456,ct,,omission error
2023-11-05 15:58:56.923172,ct,,omission error
2023-11-05 15:58:57.751939,ct,,omission error
2023-11-05 15:58:58.586588,ct,,omission error
2023-11-05 15:58:59.442704,ct,,omission error
2023-11-05 15:59:00.279331,ct,,omission error
2023-11-05 15:59:01.123166,mt,,correct omission
2023-11-05 15:59:01.959665,ct,,omission error
