time,tag,tr,flag
2023-11-05 21:06:45.921120,ct,,
2023-11-05 21:06:46.752812,ct,,omission error
2023-11-05 21:06:47.587147,ct,,omission error
2023-11-05 21:06:48.434033,ct,,omission error
2023-11-05 21:06:49.292123,ct,,omission error
2023-11-05 21:06:50.124230,ct,,omission error
2023-11-05 21:06:50.970181,ct,,omission error
2023-11-05 21:06:51.814362,mt,,correct omission
2023-11-05 21:06:52.655217,ct,,omission error
2023-11-05 21:06:53.492810,ct,,omission error
2023-11-05 21:06:54.329522,ct,,omission error
2023-11-05 21:06:55.160558,ct,,omission error
2023-11-05 21:06:56.001268,ct,,omission error
2023-11-05 21:06:56.852510,ct,,omission error
2023-11-05 21:06:57.687952,ct,,omission error
2023-11-05 21:06:58.515234,ct,,omission error
2023-11-05 21:06:59.366490,mt,,correct omission
2023-11-05 21:07:00.213390,ct,,omission error
2023-11-05 21:07:01.050505,ct,,omission error
2023-11-05 21:07:01.889562,ct,,omission error
2023-11-05 21:07:02.725077,ct,,omission error
2023-11-05 21:07:03.578077,ct,,omission error
2023-11-05 21:07:04.406416,ct,,omission error
2023-11-05 21:07:05.252221,mt,,correct omission
2023-11-05 21:07:06.079181,ct,,omission error
2023-11-05 21:07:06.914254,ct,,omission error
2023-11-05 21:07:07.743961,ct,,omission error
2023-11-05 21:07:08.580963,ct,,omission error
2023-11-05 21:07:09.414977,ct,,omission error
2023-11-05 21:07:10.280236,ct,,omission error
2023-11-05 21:07:11.132325,ct,,omission error
2023-11-05 21:07:11.968155,ct,,omission error
2023-11-05 21:07:12.795712,ct,,omission error
2023-11-05 21:07:13.627164,ct,,omission error
2023-11-05 21:07:14.463001,ct,,omission error
2023-11-05 21:07:15.308907,ct,,omission error
2023-11-05 21:07:16.150790,ct,,omission error
2023-11-05 21:07:17.008377,ct,,omission error
2023-11-05 21:07:17.850487,mt,,correct omission
2023-11-05 21:07:18.681240,ct,,omission error
2023-11-05 21:07:19.512535,ct,,omission error
2023-11-05 21:07:20.357557,ct,,omission error
2023-11-05 21:07:21.193596,ct,,omission error
2023-11-05 21:07:22.040918,ct,,omission error
2023-11-05 21:07:22.871809,ct,,omission error
2023-11-05 21:07:23.723507,ct,,omission error
2023-11-05 21:07:24.559309,mt,,correct omission
2023-11-05 21:07:25.387046,ct,,omission error
2023-11-05 21:07:26.221273,ct,,omission error
