time,tag,tr,flag
2023-11-04 18:04:47.434631,ct,,
2023-11-04 18:04:48.214620,ct,,omission error
2023-11-04 18:04:48.994217,ct,,omission error
2023-11-04 18:04:49.774513,ct,,omission error
2023-11-04 18:04:50.554274,ct,,omission error
2023-11-04 18:04:51.335255,mt,,correct omission
2023-11-04 18:04:52.112951,ct,,omission error
2023-11-04 18:04:52.890360,ct,,omission error
2023-11-04 18:04:53.666150,ct,,omission error
2023-11-04 18:04:54.445197,mt,,correct omission
2023-11-04 18:04:55.223989,ct,,omission error
2023-11-04 18:04:56.002040,ct,,omission error
2023-11-04 18:04:56.780361,ct,,omission error
2023-11-04 18:04:57.558006,ct,,omission error
2023-11-04 18:04:58.336263,ct,,omission error
2023-11-04 18:04:59.117645,ct,,omission error
2023-11-04 18:04:59.895360,ct,,omission error
2023-11-04 18:05:00.673000,ct,,omission error
2023-11-04 18:05:01.450461,ct,,omission error
2023-11-04 18:05:02.230967,ct,,omission error
2023-11-04 18:05:03.009554,ct,,omission error
2023-11-04 18:05:03.787244,ct,,omission error
2023-11-04 18:05:04.565413,mt,,correct omission
2023-11-04 18:05:05.341851,ct,,omission error
2023-11-04 18:05:06.118294,ct,,omission error
2023-11-04 18:05:06.896191,ct,,omission error
2023-11-04 18:05:07.674195,ct,,omission error
2023-11-04 18:05:08.452410,ct,,omission error
2023-11-04 18:05:09.231969,ct,,omission error
2023-11-04 18:05:10.010154,mt,,correct omission
2023-11-04 18:05:10.786229,ct,,omission error
2023-11-04 18:05:11.564955,ct,,omission error
2023-11-04 18:05:12.342466,ct,,omission error
2023-11-04 18:05:13.120956,ct,,omission error
2023-11-04 18:05:13.898986,ct,,omission error
2023-11-04 18:05:14.675673,ct,,omission error
2023-11-04 18:05:15.453921,ct,,omission error
2023-11-04 18:05:16.232097,ct,,omission error
2023-11-04 18:05:17.009564,ct,,omission error
2023-11-04 18:05:17.788760,ct,,omission error
2023-11-04 18:05:18.566427,ct,,omission error
2023-11-04 18:05:19.345228,mt,,correct omission
2023-11-04 18:05:20.122937,ct,,omission error
2023-11-04 18:05:20.903885,ct,,omission error
2023-11-04 18:05:21.683026,ct,,omission error
2023-11-04 18:05:22.461540,ct,,omission error
2023-11-04 18:05:23.240171,ct,,omission error
2023-11-04 18:05:24.018799,ct,,omission error
2023-11-04 18:05:24.794785,ct,,omission error
2023-11-04 18:05:25.572861,ct,,omission error
2023-11-04 18:05:26.352986,ct,,omission error
2023-11-04 18:05:27.132885,mt,,correct omission
2023-11-04 18:05:27.912352,ct,,omission error
2023-11-04 18:05:28.691664,ct,,omission error
2023-11-04 18:05:29.471674,ct,,omission error
2023-11-04 18:05:30.248627,ct,,omission error
2023-11-04 18:05:31.027249,ct,,omission error
2023-11-04 18:05:31.807234,ct,,omission error
2023-11-04 18:05:32.585274,ct,,omission error
2023-11-04 18:05:33.364197,ct,,omission error
2023-11-04 18:05:34.142138,mt,,correct omission
2023-11-04 18:05:34.919313,ct,,omission error
2023-11-04 18:05:35.698478,ct,,omission error
2023-11-04 18:05:36.475692,ct,,omission error
2023-11-04 18:05:37.254788,ct,,omission error
2023-11-04 18:05:38.032269,ct,,omission error
2023-11-04 18:05:38.808664,ct,,omission error
2023-11-04 18:05:39.587470,ct,,omission error
2023-11-04 18:05:40.365881,ct,,omission error
2023-11-04 18:05:41.144391,ct,,omission error
2023-11-04 18:05:41.920921,ct,,omission error
2023-11-04 18:05:42.699340,ct,,omission error
2023-11-04 18:05:43.476400,ct,,omission error
2023-11-04 18:05:44.254902,ct,,omission error
2023-11-04 18:05:45.031604,ct,,omission error
2023-11-04 18:05:45.811749,ct,,omission error
2023-11-04 18:05:46.591144,ct,,omission error
2023-11-04 18:05:47.368462,ct,,omission error
2023-11-04 18:05:48.146300,mt,,correct omission
2023-11-04 18:05:48.923267,ct,,omission error
2023-11-04 18:05:49.699837,ct,,omission error
2023-11-04 18:05:50.479135,ct,,omission error
2023-11-04 18:05:51.257851,ct,,omission error
2023-11-04 18:05:52.034475,ct,,omission error
2023-11-04 18:05:52.813227,mt,,correct omission
2023-11-04 18:05:53.592681,ct,,omission error
2023-11-04 18:05:54.370017,ct,,omission error
2023-11-04 18:05:55.148502,ct,,omission error
2023-11-04 18:05:55.924556,ct,,omission error
2023-11-04 18:05:56.702981,ct,,omission error
2023-11-04 18:05:57.480058,ct,,omission error
2023-11-04 18:05:58.257202,ct,,omission error
2023-11-04 18:05:59.035561,ct,,omission error
2023-11-04 18:05:59.812545,ct,,omission error
2023-11-04 18:06:00.589569,mt,,correct omission
2023-11-04 18:06:01.366593,ct,,omission error
2023-11-04 18:06:02.143544,ct,,omission error
2023-11-04 18:06:02.920307,ct,,omission error
2023-11-04 18:06:03.698229,ct,,omission error
2023-11-04 18:06:04.477283,ct,,omission error
2023-11-04 18:06:05.253305,ct,,omission error
2023-11-04 18:06:06.030333,ct,,omission error
2023-11-04 18:06:06.808403,ct,,omission error
2023-11-04 18:06:07.587689,mt,,correct omission
2023-11-04 18:06:08.367101,ct,,omission error
2023-11-04 18:06:09.146353,ct,,omission error
2023-11-04 18:06:09.927811,ct,,omission error
2023-11-04 18:06:10.705293,ct,,omission error
2023-11-04 18:06:11.484223,ct,,omission error
2023-11-04 18:06:12.260682,ct,,omission error
2023-11-04 18:06:13.038608,ct,,omission error
2023-11-04 18:06:13.815362,ct,,omission error
2023-11-04 18:06:14.592579,ct,,omission error
2023-11-04 18:06:15.371753,mt,,correct omission
2023-11-04 18:06:16.148210,ct,,omission error
2023-11-04 18:06:16.925846,ct,,omission error
2023-11-04 18:06:17.703067,ct,,omission error
2023-11-04 18:06:18.480596,ct,,omission error
2023-11-04 18:06:19.259629,ct,,omission error
2023-11-04 18:06:20.038630,ct,,omission error
2023-11-04 18:06:20.816096,ct,,omission error
2023-11-04 18:06:21.593481,ct,,omission error
2023-11-04 18:06:22.371471,ct,,omission error
2023-11-04 18:06:23.148600,ct,,omission error
2023-11-04 18:06:23.925794,ct,,omission error
2023-11-04 18:06:24.701868,ct,,omission error
2023-11-04 18:06:25.482126,ct,,omission error
2023-11-04 18:06:26.259271,mt,,correct omission
2023-11-04 18:06:27.040623,ct,,omission error
2023-11-04 18:06:27.818713,ct,,omission error
2023-11-04 18:06:28.596648,ct,,omission error
2023-11-04 18:06:29.373668,ct,,omission error
2023-11-04 18:06:30.150726,ct,,omission error
2023-11-04 18:06:30.928924,mt,,correct omission
2023-11-04 18:06:31.707147,ct,,omission error
2023-11-04 18:06:32.484648,ct,,omission error
2023-11-04 18:06:33.261537,ct,,omission error
2023-11-04 18:06:34.039906,ct,,omission error
2023-11-04 18:06:34.815095,ct,,omission error
2023-11-04 18:06:35.592638,ct,,omission error
2023-11-04 18:06:36.369903,ct,,omission error
2023-11-04 18:06:37.147891,mt,,correct omission
2023-11-04 18:06:37.927954,ct,,omission error
2023-11-04 18:06:38.705704,ct,,omission error
2023-11-04 18:06:39.485489,ct,,omission error
2023-11-04 18:06:40.262071,ct,,omission error
2023-11-04 18:06:41.040082,ct,,omission error
2023-11-04 18:06:41.817225,ct,,omission error
2023-11-04 18:06:42.595683,ct,,omission error
2023-11-04 18:06:43.374732,/c,,omission error
2023-11-04 18:06:44.153065,/c,,omission error
2023-11-04 18:06:44.930671,/c,,omission error
2023-11-04 18:06:45.707449,/c,,omission error
2023-11-04 18:06:46.486000,/c,,omission error
2023-11-04 18:06:47.263276,/c,,correct omission
2023-11-04 18:06:48.042020,/c,,omission error
2023-11-04 18:06:48.819520,/m,,omission error
2023-11-04 18:06:49.597419,/c,,omission error
2023-11-04 18:06:50.374249,/c,,omission error
2023-11-04 18:06:51.152684,/c,,omission error
2023-11-04 18:06:51.931050,/c,,omission error
2023-11-04 18:06:52.709398,/c,,omission error
2023-11-04 18:06:53.487534,/c,,omission error
2023-11-04 18:06:54.266060,/c,,correct omission
2023-11-04 18:06:55.042959,/c,,omission error
2023-11-04 18:06:55.820213,/c,,omission error
2023-11-04 18:06:56.597507,/c,,omission error
2023-11-04 18:06:57.375256,/m,,omission error
2023-11-04 18:06:58.152002,/c,,omission error
2023-11-04 18:06:58.930306,/c,,omission error
2023-11-04 18:06:59.709263,/c,,correct omission
2023-11-04 18:07:00.489263,/c,,omission error
2023-11-04 18:07:01.268259,/c,,omission error
2023-11-04 18:07:02.047042,/c,,omission error
2023-11-04 18:07:02.825095,/c,,omission error
2023-11-04 18:07:03.604959,/c,,omission error
2023-11-04 18:07:04.382395,/c,,omission error
2023-11-04 18:07:05.160171,/m,,omission error
2023-11-04 18:07:05.939438,/c,,omission error
2023-11-04 18:07:06.717459,/m,,correct omission
2023-11-04 18:07:07.494956,/c,,omission error
2023-11-04 18:07:08.271235,/c,,omission error
2023-11-04 18:07:09.047096,/c,,omission error
2023-11-04 18:07:09.825553,/c,,omission error
2023-11-04 18:07:10.603131,/c,,omission error
2023-11-04 18:07:11.380166,/c,,omission error
2023-11-04 18:07:12.156731,/c,,omission error
2023-11-04 18:07:12.935741,/c,,omission error
2023-11-04 18:07:13.712529,/c,,omission error
2023-11-04 18:07:14.490728,/c,,omission error
2023-11-04 18:07:15.268336,/c,,omission error
2023-11-04 18:07:16.044231,/c,,omission error
