time,tag,tr,flag
2023-11-04 17:52:45.949982,ct,,
2023-11-04 17:52:46.728203,ct,,omission error
2023-11-04 17:52:47.504498,ct,,omission error
2023-11-04 17:52:48.281463,mt,,correct omission
2023-11-04 17:52:49.059308,ct,,omission error
2023-11-04 17:52:49.836540,ct,,omission error
2023-11-04 17:52:50.614410,ct,,omission error
2023-11-04 17:52:51.391740,ct,,omission error
2023-11-04 17:52:52.169570,ct,,omission error
2023-11-04 17:52:52.947358,mt,,correct omission
2023-11-04 17:52:53.725245,ct,,omission error
2023-11-04 17:52:54.502734,ct,,omission error
2023-11-04 17:52:55.279927,ct,,omission error
2023-11-04 17:52:56.055613,ct,,omission error
2023-11-04 17:52:56.833090,ct,,omission error
2023-11-04 17:52:57.610166,ct,,omission error
2023-11-04 17:52:58.388774,ct,,omission error
2023-11-04 17:52:59.166874,ct,,omission error
2023-11-04 17:52:59.944181,ct,,omission error
2023-11-04 17:53:00.721684,ct,,omission error
2023-11-04 17:53:01.498111,ct,,omission error
2023-11-04 17:53:02.275128,mt,,correct omission
2023-11-04 17:53:03.051220,ct,,omission error
2023-11-04 17:53:03.829281,ct,,omission error
2023-11-04 17:53:04.609475,ct,,omission error
2023-11-04 17:53:05.388038,ct,,omission error
2023-11-04 17:53:06.165504,ct,,omission error
2023-11-04 17:53:06.942447,ct,,omission error
2023-11-04 17:53:07.720373,ct,,omission error
2023-11-04 17:53:08.498355,ct,,omission error
2023-11-04 17:53:09.274970,ct,,omission error
2023-11-04 17:53:10.052716,mt,,correct omission
2023-11-04 17:53:10.829712,ct,,omission error
2023-11-04 17:53:11.603402,ct,,omission error
2023-11-04 17:53:12.376668,ct,,omission error
2023-11-04 17:53:13.150225,ct,,omission error
2023-11-04 17:53:13.927107,ct,,omission error
2023-11-04 17:53:14.704466,ct,,omission error
2023-11-04 17:53:15.480521,ct,,omission error
2023-11-04 17:53:16.259194,ct,,omission error
2023-11-04 17:53:17.036860,ct,,omission error
2023-11-04 17:53:17.814739,ct,,omission error
2023-11-04 17:53:18.589864,ct,,omission error
2023-11-04 17:53:19.366689,ct,,omission error
2023-11-04 17:53:20.142011,ct,,omission error
2023-11-04 17:53:20.918871,mt,,correct omission
2023-11-04 17:53:21.698819,ct,,omission error
2023-11-04 17:53:22.477793,ct,,omission error
2023-11-04 17:53:23.255492,ct,,omission error
2023-11-04 17:53:24.032029,ct,,omission error
2023-11-04 17:53:24.805957,mt,,correct omission
2023-11-04 17:53:25.580742,ct,,omission error
2023-11-04 17:53:26.357315,ct,,omission error
2023-11-04 17:53:27.132426,ct,,omission error
2023-11-04 17:53:27.907587,ct,,omission error
2023-11-04 17:53:28.682134,ct,,omission error
2023-11-04 17:53:29.456756,ct,,omission error
2023-11-04 17:53:30.230768,ct,,omission error
2023-11-04 17:53:31.004342,ct,,omission error
2023-11-04 17:53:31.780715,ct,,omission error
2023-11-04 17:53:32.557531,mt,,correct omission
2023-11-04 17:53:33.331254,ct,,omission error
2023-11-04 17:53:34.105066,ct,,omission error
2023-11-04 17:53:34.879902,ct,,omission error
2023-11-04 17:53:35.655962,ct,,omission error
2023-11-04 17:53:36.429144,ct,,omission error
2023-11-04 17:53:37.205696,ct,,omission error
2023-11-04 17:53:37.982752,ct,,omission error
2023-11-04 17:53:38.757971,ct,,omission error
2023-11-04 17:53:39.532021,ct,,omission error
2023-11-04 17:53:40.308763,ct,,omission error
2023-11-04 17:53:41.081556,ct,,omission error
2023-11-04 17:53:41.858043,ct,,omission error
2023-11-04 17:53:42.632603,ct,,omission error
2023-11-04 17:53:43.407810,mt,,correct omission
2023-11-04 17:53:44.182020,ct,,omission error
2023-11-04 17:53:44.955102,ct,,omission error
2023-11-04 17:53:45.728632,ct,,omission error
2023-11-04 17:53:46.503960,ct,,omission error
2023-11-04 17:53:47.276321,ct,,omission error
2023-11-04 17:53:48.051632,mt,,correct omission
2023-11-04 17:53:48.828176,ct,,omission error
2023-11-04 17:53:49.602320,ct,,omission error
2023-11-04 17:53:50.376052,ct,,omission error
2023-11-04 17:53:51.151080,ct,,omission error
2023-11-04 17:53:51.924720,ct,,omission error
2023-11-04 17:53:52.699091,ct,,omission error
2023-11-04 17:53:53.472033,ct,,omission error
2023-11-04 17:53:54.243737,ct,,omission error
2023-11-04 17:53:55.017810,ct,,omission error
2023-11-04 17:53:55.790048,ct,,omission error
2023-11-04 17:53:56.565454,ct,,omission error
2023-11-04 17:53:57.344072,ct,,omission error
2023-11-04 17:53:58.121699,ct,,omission error
2023-11-04 17:53:58.899923,ct,,omission error
