time,tag,tr,flag
2023-11-06 20:48:56.604362,ct,,
2023-11-06 20:48:57.431037,ct,,omission error
2023-11-06 20:48:58.274658,ct,,omission error
2023-11-06 20:48:59.098033,ct,,omission error
2023-11-06 20:48:59.929574,ct,,omission error
2023-11-06 20:49:00.763996,ct,,omission error
2023-11-06 20:49:01.606725,ct,,omission error
2023-11-06 20:49:02.450254,mt,,correct omission
2023-11-06 20:49:03.290801,ct,,omission error
2023-11-06 20:49:04.133744,ct,,omission error
2023-11-06 20:49:04.967507,ct,,omission error
2023-11-06 20:49:05.798591,ct,,omission error
2023-11-06 20:49:06.634025,mt,,correct omission
2023-11-06 20:49:07.467176,ct,,omission error
2023-11-06 20:49:08.300191,ct,,omission error
2023-11-06 20:49:09.122902,ct,,omission error
2023-11-06 20:49:09.955586,ct,,omission error
2023-11-06 20:49:10.785085,ct,,omission error
2023-11-06 20:49:11.619073,ct,,omission error
2023-11-06 20:49:12.464257,ct,,omission error
2023-11-06 20:49:13.303603,ct,,omission error
2023-11-06 20:49:14.140274,ct,,omission error
2023-11-06 20:49:14.992014,ct,,omission error
2023-11-06 20:49:15.837294,ct,,omission error
2023-11-06 20:49:16.672416,ct,,omission error
2023-11-06 20:49:17.499291,ct,,omission error
2023-11-06 20:49:18.328159,ct,,omission error
2023-11-06 20:49:19.160831,mt,,correct omission
2023-11-06 20:49:19.997870,ct,,omission error
2023-11-06 20:49:20.831624,ct,,omission error
2023-11-06 20:49:21.664040,ct,,omission error
2023-11-06 20:49:22.497170,ct,,omission error
2023-11-06 20:49:23.326911,mt,,correct omission
2023-11-06 20:49:24.160869,ct,,omission error
2023-11-06 20:49:24.999658,ct,,omission error
2023-11-06 20:49:25.834950,ct,,omission error
2023-11-06 20:49:26.663828,ct,,omission error
2023-11-06 20:49:27.497921,ct,,omission error
2023-11-06 20:49:28.336095,ct,,omission error
2023-11-06 20:49:29.183112,ct,,omission error
2023-11-06 20:49:30.020524,mt,,correct omission
2023-11-06 20:49:30.866543,ct,,omission error
2023-11-06 20:49:31.703080,ct,,omission error
2023-11-06 20:49:32.538496,ct,,omission error
2023-11-06 20:49:33.365967,ct,,omission error
2023-11-06 20:49:34.200573,ct,,omission error
2023-11-06 20:49:35.041621,ct,,omission error
2023-11-06 20:49:35.879058,ct,,omission error
2023-11-06 20:49:36.710270,ct,,omission error
2023-11-06 20:49:37.538898,ct,,omission error
